name;code;country;timezone
"ASX";"XASX";"Australia";"Australia/Sydney"
"VSE";"XWBO";"Austria";"Europe/Vienna"
"Euronext";"XBRU";"Belgium";"Europe/Brussels"
"Bovespa";"BVMF";"Brazil";"America/Paramaribo"
"TSX";"XTSE";"Canada";"America/Toronto"
"TSXV";"XTSX";"Canada";"America/Toronto"
"BVS";"XSGO";"Chile";"America/Santiago"
"SSE";"XSHG";"China";"Asia/Shanghai"
"SZSE";"XSHE";"China";"Asia/Shanghai"
"EGX";"XCAI";"Egypt";"Africa/Cairo"
"Euronext";"XPAR";"France";"Europe/Paris"
"XETR";"XETR";"Germany";"Europe/Berlin"
"XSTU";"XSTU";"Germany";"Europe/Berlin"
"EUREX";"XEUR";"Germany";"Europe/Zurich"
"ASE";"ASEX";"Greece";"Europe/Athens"
"HKEX";"XHKG";"Hong Kong";"Asia/Hong_Kong"
"NSE";"XNSE";"India";"Asia/Kolkata"
"BSE";"XBOM";"India";"Asia/Kolkata"
"IDX";"XIDX";"Indonesia";"Asia/Jakarta"
"TASE";"XTAE";"Israel";"Asia/Jerusalem"
"MTA";"XMIL";"Italy";"Europe/Rome"
"JPX";"XJPX";"Japan";"Asia/Tokyo"
"MYX";"XKLS";"Malaysia";"Asia/Kuala_Lumpur"
"BMV";"XMEX";"Mexico";"America/Mexico_City"
"Euronext";"XAMS";"Netherlands";"Europe/Amsterdam"
"NZX";"XNZE";"New Zealand";"Pacific/Auckland"
"OSE";"XOSL";"Norway";"Europe/Oslo"
"PSX";"XKAR";"Pakistan";"Asia/Karachi"
"BVL";"XLIM";"Peru";"America/Lima"
"PSE";"XPHS";"Philippines";"Asia/Manila"
"GPW";"XWAR";"Poland";"Europe/Warsaw"
"Euronext";"XLIS";"Portugal";"Europe/Lisbon"
"QE";"DSMD";"Qatar";"Asia/Qatar"
"MOEX";"MISX";"Russia";"Europe/Moscow"
"Tadawul";"XSAU";"Saudi Arabia";"Asia/Riyadh"
"SGX";"XSES";"Singapore";"Asia/Singapore"
"JSE";"XJSE";"South Africa";"Africa/Johannesburg"
"KRX";"XKRX";"South Korea";"Asia/Seoul"
"BME";"XBIL";"Spain";"Europe/Madrid"
"BME";"XMAD";"Spain";"Europe/Madrid"
"BME";"XBAR";"Spain";"Europe/Madrid"
"CSE";"XCOL";"Sri Lanka";"Asia/Colombo"
"OMX";"XSTO";"Sweden";"Europe/Stockholm"
"SIX";"XSWX";"Switzerland";"Europe/Zurich"
"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"SET";"XBKK";"Thailand";"Asia/Bangkok"
"BIST";"XIST";"Turkey";"Europe/Istanbul"
"ADX";"XADS";"United Arab Emirates";"Asia/Dubai"
"LSE";"XLON";"United Kingdom";"Europe/London"
"NYSE";"XNYS";"United States";"America/New_York"
"ICE";"NYBOT";"United States";"America/New_York"
"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ";"XNGS";"United States";"America/New_York"
"NASDAQ";"XNCM";"United States";"America/New_York"
"NASDAQ";"XNMS";"United States";"America/New_York"
